instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.014444444,-0.412222222,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.011111111,-0.407777778,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,0,0.23,-0.238888889,1,0,0,0.629,button_right,0.629,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,0,0.302222222,-0.273333333,1,0,0,1.345,button_right,1.345,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,0,0.303333333,-0.274444444,1,0,0,0.395,button_right,0.395,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.302222222,-0.333333333,1,0,0,0.829,button_left,0.829,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.361111111,-0.306666667,1,0,0,0.945,button_left,0.945,0,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,0,0.266666667,-0.307777778,1,0,0,0.462,button_right,0.462,0,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.293333333,-0.304444444,1,0,0,0.677,button_left,0.677,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,0,0.415555556,-0.315555556,1,0,0,0.979,button_right,0.979,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,1.184,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,1.184,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.46,1,0,9,9,8,1,stimuli/blank.png,Joy,a,0.46,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,0.673,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,0.673,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,l,0,,,,,,,,0.389,0,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,0.389,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,a,1,,,,,,,,0.27,1,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,0.27,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,l,0,,,,,,,,0.385,0,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,0.385,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,a,0,,,,,,,,0.353,0,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,0.353,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,l,0,,,,,,,,0.237,0,0,5,5,7,1,stimuli/white_4.jpg,NaN,a,0.237,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,l,1,,,,,,,,0.503,1,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,0.503,,,,,,,,
,,,,,,,,,,,,,asdlfkj,1,001,male,2022-11-15_19h46.37.188,openIAT,2020.1.0rc3,MacIntel,60,l,0,,,,,,,,0.355,0,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,0.355,,,,,,,,
