instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.013888863,-0.238888911,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.290740776,-0.347222247,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.311111111,-0.283333333,1,0,0,2.22985,button_left,2.22985,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.425925912,-0.328703732,1,0,0,1.229965,button_left,1.229965,1,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.424074046,-0.344444444,1,0,0,1.696875,button_left,1.696875,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.466666667,-0.30648151,1,0,0,0.71342,button_right,0.71342,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.440740712,-0.362037065,1,0,0,0.962785,button_left,0.962785,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.455555556,-0.334259288,1,0,0,1.05173,button_right,1.05173,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.437962935,-0.360185242,1,0,0,1.031795,button_left,1.031795,0,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.442592621,-0.333333333,1,0,0,1.04633,button_right,1.04633,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.435185242,-0.319444444,1,0,0,0.76355,button_right,0.76355,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.444444444,-0.368518575,1,0,0,1.263215,button_left,1.263215,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.45648151,-0.350925954,1,0,0,1.99436,button_right,1.99436,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.462037065,-0.353703732,1,0,0,1.687005,button_right,1.687005,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.441666667,-0.329629686,1,0,0,1.314825,button_right,1.314825,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.422222222,-0.368518575,1,0,0,1.73071,button_left,1.73071,1,0,3,3,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.452777778,-0.353703732,1,0,0,0.997,button_left,0.997,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.441666667,-0.337963019,1,0,0,1.282135,button_left,1.282135,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.409259288,-0.324074131,1,0,0,0.781435,button_right,0.781435,0,0,6,6,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.418518575,-0.30648151,1,0,0,1.320295,button_right,1.320295,1,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.378703732,-0.314814843,1,0,0,1.21418,button_right,1.21418,1,0,8,8,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.414814843,-0.313888889,1,0,0,0.881065,button_right,0.881065,0,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.445370399,-0.322222222,1,0,0,2.0771,button_right,2.0771,1,0,0,0,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.450925912,-0.337037065,1,0,0,1.48001,button_left,1.48001,0,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.574074067,-0.43148151,1,0,0,2.02936,button_left,2.02936,1,0,2,2,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.410185242,-0.279629686,1,0,0,1.283635,button_right,1.283635,1,0,3,3,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.426851824,-0.310185242,1,0,0,0.947015,button_left,0.947015,1,0,4,4,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.458333333,-0.301851908,1,0,0,0.75328,button_right,0.75328,1,0,5,5,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.405555556,-0.312037065,1,0,0,1.014205,button_right,1.014205,0,0,6,6,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.394444444,-0.315740797,1,0,0,1.547815,button_right,1.547815,1,0,7,7,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.427777778,-0.319444444,1,0,0,1.3968,button_left,1.3968,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.404629686,-0.319444444,1,0,0,0.74859,button_right,0.74859,1,0,9,9,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.394444444,-0.323148176,1,0,0,0.949065,button_right,0.949065,1,0,10,10,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.407407464,-0.335185242,1,0,0,1.029325,button_right,1.029325,1,0,11,11,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.448148134,-0.282407464,1,0,0,0.947845,button_left,0.947845,1,0,12,12,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.415740712,-0.293518575,1,0,0,0.948555,button_left,0.948555,0,0,13,13,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.400925954,-0.311111111,1,0,0,0.74676,button_right,0.74676,1,0,14,14,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.404629686,-0.302777778,1,0,0,0.83104,button_right,0.83104,0,0,15,15,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.45,-0.303703732,1,0,0,0.90323,button_left,0.90323,1,0,16,16,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.449074046,-0.323148176,1,0,0,1.846895,button_left,1.846895,1,0,17,17,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.435185157,-0.309259288,1,0,0,1.163445,button_left,1.163445,1,0,18,18,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.437962935,-0.309259288,1,0,0,0.748325,button_left,0.748325,1,0,19,19,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.442592578,-0.325,1,0,0,1.082825,button_left,1.082825,1,0,0,0,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.399074131,-0.305555556,1,0,0,0.78167,button_right,0.78167,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.445370356,-0.304629686,1,0,0,0.697815,button_left,0.697815,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.452777778,-0.324074131,1,0,0,0.59728,button_left,0.59728,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.445370356,-0.366666667,1,0,0,0.53168,button_left,0.53168,1,0,4,4,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.394444444,-0.327777778,1,0,0,0.796935,button_right,0.796935,1,0,5,5,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.414814801,-0.350925954,1,0,0,2.23118,button_left,2.23118,1,0,6,6,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.404629686,-0.329629686,1,0,0,0.83069,button_right,0.83069,1,0,7,7,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.393518575,-0.330555556,1,0,0,0.76498,button_right,0.76498,1,0,8,8,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.400925954,-0.334259288,1,0,0,0.97064,button_right,0.97064,1,0,9,9,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.398148176,-0.314814843,1,0,0,1.49333,button_right,1.49333,1,0,0,0,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.409259245,-0.334259288,1,0,0,0.781615,button_left,0.781615,1,0,1,1,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.437962935,-0.336111111,1,0,0,1.36465,button_left,1.36465,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.386111111,-0.326851908,1,0,0,0.78071,button_right,0.78071,1,0,3,3,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.437037023,-0.326851908,1,0,0,0.814555,button_left,0.814555,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.418518575,-0.307407464,1,0,0,0.780255,button_right,0.780255,0,0,5,5,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.447222222,-0.319444444,1,0,0,2.147935,button_right,2.147935,1,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.409259245,-0.334259288,1,0,0,1.014475,button_left,1.014475,1,0,7,7,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.416666667,-0.332407464,1,0,0,1.063725,button_left,1.063725,1,0,8,8,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.441666667,-0.291666667,1,0,0,2.110275,button_left,2.110275,0,0,9,9,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.440740797,-0.274074131,1,0,0,0.930645,button_right,0.930645,1,0,10,10,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.417592578,-0.330555556,1,0,0,0.779995,button_left,0.779995,1,0,11,11,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.401851908,-0.299074131,1,0,0,1.54635,button_right,1.54635,1,0,12,12,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.417592621,-0.319444444,1,0,0,1.397545,button_right,1.397545,1,0,13,13,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.415740797,-0.312037065,1,0,0,0.848755,button_right,0.848755,1,0,14,14,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.438888889,-0.3,1,0,0,1.747585,button_right,1.747585,1,0,15,15,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.442592578,-0.354629686,1,0,0,0.900035,button_left,0.900035,1,0,16,16,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.416666667,-0.324074131,1,0,0,1.213705,button_right,1.213705,1,0,17,17,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,-0.441666667,-0.308333333,1,0,0,1.41464,button_left,1.41464,1,0,18,18,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,ingy,1,001,female,2020-10-22_19h23.04.418,openIAT,2020.1.0rc3,Win32,60,,0,0.399074131,-0.318518575,1,0,0,0.9474,button_right,0.9474,0,0,19,19,10,1,stimuli/blank.png,Good,a,,,,,,,,
